ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,OutletType,OutletSales
156,9.3,0,0.016047301,2,249.8092,9,1999,1,0,1,3735.138
8,5.92,1,0.019278216,0,48.2692,3,2009,1,2,2,443.4228
662,17.5,0,0.016760075,1,141.618,9,1999,1,0,1,2097.27
1121,19.2,1,0.0,1,182.095,0,1998,2,2,0,732.38
1297,8.93,0,0.0,2,53.8614,1,1987,0,2,1,994.7052
758,10.395,1,0.0,2,51.4008,3,2009,1,2,2,556.6088
696,13.65,1,0.012741089,1,57.6588,1,1987,0,2,1,343.5528
738,12.857645184135976,0,0.127469857,1,107.7622,5,1985,1,2,3,4022.7636
440,16.2,1,0.016687114,1,96.9726,7,2002,2,1,1,1076.5986
990,19.2,1,0.09444959,1,187.8214,2,2007,2,1,1,4710.535
1171,11.8,0,0.0,1,45.5402,9,1999,1,0,1,1516.0266
147,18.5,1,0.045463773,2,144.1102,8,1997,2,0,1,2187.153
1142,15.1,1,0.1000135,1,145.4786,9,1999,1,0,1,1589.2646
904,17.6,1,0.047257328,1,119.6782,8,1997,2,0,1,2145.2076
375,16.35,0,0.0680243,1,196.4426,1,1987,0,2,1,1977.426
767,9.0,1,0.069088961,1,56.3614,8,1997,2,0,1,1547.3192
1280,11.8,0,0.008596051,2,115.3492,3,2009,1,2,2,1621.8888
767,9.0,1,0.069196376,1,54.3614,9,1999,1,0,1,718.3982
79,12.857645184135976,0,0.034237682,0,113.2834,5,1985,1,2,3,2303.668
968,13.35,0,0.10249212,2,230.5352,6,2004,2,1,1,2748.4224
666,18.85,1,0.138190277,1,250.8724,1,1987,0,2,1,3775.086
1076,12.857645184135976,1,0.035399923,2,144.5444,5,1985,1,2,3,4064.0432
1278,14.6,0,0.025698134,2,196.5084,6,2004,2,1,1,1587.2672
259,12.857645184135976,0,0.057556998,2,107.6938,4,1985,2,0,0,214.3876
843,13.85,1,0.025896485,1,165.021,8,1997,2,0,1,4078.025
1294,13.0,0,0.099887103,2,45.906,2,2007,2,1,1,838.908
1024,7.645,1,0.066693437,1,42.3112,6,2004,2,1,1,1065.28
101,11.65,0,0.019356132,0,39.1164,1,1987,0,2,1,308.9312
350,5.925,1,0.161466534,2,45.5086,0,1998,2,2,0,178.4344
244,12.857645184135976,1,0.072221801,2,43.6454,4,1985,2,0,0,125.8362
1048,19.25,0,0.170348551,2,55.7956,0,1998,2,2,0,163.7868
1480,18.6,0,0.080829372,2,96.4436,3,2009,1,2,2,2741.7644
756,18.7,0,0.0,1,256.6672,3,2009,1,2,2,3068.0064
706,17.85,0,0.0,1,93.1436,7,2002,2,1,1,2174.5028
64,17.5,0,0.097904029,0,174.8738,8,1997,2,0,1,2085.2856
1533,10.0,0,0.089291137,2,146.7102,9,1999,1,0,1,3791.0652
1032,12.857645184135976,1,0.059511812,1,128.0678,5,1985,1,2,3,2797.6916
143,8.85,1,0.113123893,0,122.5388,3,2009,1,2,2,1609.9044
1124,12.857645184135976,1,0.123111453,1,36.9874,5,1985,1,2,3,388.1614
214,12.857645184135976,0,0.026480954,1,87.6198,5,1985,1,2,3,2180.495
968,13.35,0,0.102511504,2,230.6352,8,1997,2,0,1,3435.528
567,9.8,0,0.02681843,1,126.002,1,1987,0,2,1,2150.534
180,13.6,0,0.117818348,1,192.9136,9,1999,1,0,1,2527.3768
236,21.35,0,0.069102831,2,259.9278,3,2009,1,2,2,6768.5228
611,12.15,1,0.042277867,2,126.5046,1,1987,0,2,1,373.5138
641,6.42,0,0.089498926,2,178.1002,0,1998,2,2,0,358.2004
1438,19.6,0,0.0,2,153.3024,7,2002,2,1,1,2428.8384
1057,10.0,0,0.025879577,2,265.2226,7,2002,2,1,1,5815.0972
586,15.85,1,0.121632721,2,60.622,8,1997,2,0,1,2576.646
869,12.857645184135976,1,0.255394896,2,196.8794,4,1985,2,0,0,780.3176
1378,7.39,0,0.067779712,2,143.8812,8,1997,2,0,1,3134.5864
642,10.195,0,0.159803853,1,141.5154,1,1987,0,2,1,850.8924
830,9.895,1,0.028696932,2,117.0492,1,1987,0,2,1,810.9444
177,10.895,0,0.065041581,1,196.3794,2,2007,2,1,1,3121.2704
1442,12.15,0,0.028760013,2,151.4708,2,2007,2,1,1,4815.0656
553,7.905,0,0.010053105,1,249.0408,3,2009,1,2,2,6258.52
1538,9.195,0,0.048157338,2,106.1622,7,2002,2,1,1,2117.244
107,8.365,0,0.071958197,0,38.0506,9,1999,1,0,1,796.9626
1183,15.1,0,0.173481304,1,194.511,8,1997,2,0,1,4910.275
485,12.857645184135976,0,0.061082177,2,180.0344,4,1985,2,0,0,892.172
629,10.0,0,0.0,1,246.9144,3,2009,1,2,2,3185.1872
1039,7.97,1,0.040071131,1,87.3514,7,2002,2,1,1,1062.6168
361,12.857645184135976,0,0.012090074,1,38.2848,5,1985,1,2,3,484.7024
1199,12.857645184135976,1,0.15028599,1,51.0692,4,1985,2,0,0,147.8076
1202,12.857645184135976,0,0.026015519,1,255.8356,5,1985,1,2,3,2543.356
266,17.7,0,0.195068226,1,185.4266,0,1998,2,2,0,184.4266
441,19.35,0,0.033082215,1,172.5738,6,2004,2,1,1,4865.6664
1218,13.65,1,0.078946455,2,186.024,7,2002,2,1,1,1118.544
72,17.6,0,0.041700756,0,164.8526,7,2002,2,1,1,2302.3364
1343,8.645,0,0.143422643,2,95.841,8,1997,2,0,1,2027.361
541,15.6,1,0.105296072,1,170.1764,8,1997,2,0,1,3435.528
586,15.85,1,0.121531501,2,59.222,1,1987,0,2,1,599.22
453,18.25,0,0.0,1,164.7526,7,2002,2,1,1,4604.6728
394,7.855,0,0.011324862,2,189.6188,2,2007,2,1,1,2285.0256
1552,7.825,0,0.186357148,2,254.3698,9,1999,1,0,1,5580.7356
254,8.39,1,0.024205661,1,114.0176,8,1997,2,0,1,2290.352
781,12.85,0,0.033230816,1,172.3422,9,1999,1,0,1,1207.0954
682,12.857645184135976,0,0.113720344,2,89.9804,4,1985,2,0,0,643.1628
582,19.0,0,0.112556507,1,104.9622,2,2007,2,1,1,1587.933
1037,5.905,0,0.0,2,222.5456,7,2002,2,1,1,5305.0944
316,7.76,0,0.059352241,1,101.87,8,1997,2,0,1,1697.79
656,11.8,1,0.014087057,1,180.3344,8,1997,2,0,1,1427.4752
1053,16.75,0,0.045230944,1,187.9556,3,2009,1,2,2,4693.89
1379,12.857645184135976,0,0.293417759,2,194.6136,4,1985,2,0,0,583.2408
829,12.857645184135976,1,0.031382044,2,171.3764,5,1985,1,2,3,3091.9752
404,15.5,1,0.12639886,1,177.0028,2,2007,2,1,1,2479.4392
1258,6.055,0,0.025403898,1,160.992,6,2004,2,1,1,2716.464
811,12.857645184135976,1,0.039057677,1,155.963,5,1985,1,2,3,3285.723
674,6.305,1,0.123115764,1,95.6436,8,1997,2,0,1,661.8052
670,20.85,0,0.039624006,1,117.2808,9,1999,1,0,1,1523.3504
1082,20.75,0,0.040421193,1,122.173,0,1998,2,2,0,369.519
57,8.895,0,0.105274111,2,39.9138,9,1999,1,0,1,690.4346
82,19.6,0,0.033970195,0,55.1614,7,2002,2,1,1,1381.535
178,19.7,0,0.053212652,1,57.893,6,2004,2,1,1,622.523
1468,9.8,0,0.024378706,2,114.5492,6,2004,2,1,1,1274.3412
970,12.857645184135976,0,0.009714595,1,120.0414,4,1985,2,0,0,487.3656
382,12.15,0,0.131383762,1,246.046,9,1999,1,0,1,1231.73
231,8.75,1,0.07461309,1,187.4556,6,2004,2,1,1,3755.112
1442,12.857645184135976,0,0.028459761,2,149.9708,5,1985,1,2,3,4363.6532
231,8.75,1,0.074627201,1,187.8556,8,1997,2,0,1,1314.2892
940,13.3,0,0.063695084,1,151.0708,7,2002,2,1,1,1805.6496
284,12.857645184135976,1,0.045797829,1,178.5344,5,1985,1,2,3,2854.9504
1113,8.31,1,0.115857223,1,179.1028,9,1999,1,0,1,3896.2616
7,16.75,1,0.024832806,0,38.7822,1,1987,0,2,1,667.7974
737,19.75,0,0.034027909,1,212.0902,3,2009,1,2,2,3185.853
438,17.1,1,0.0467696,2,141.1838,1,1987,0,2,1,2247.7408
181,10.5,1,0.116576702,2,163.121,1,1987,0,2,1,1794.331
400,6.635,1,0.0,2,121.3098,7,2002,2,1,1,2530.7058
36,12.857645184135976,0,0.278974075,0,225.372,4,1985,2,0,0,679.116
111,14.15,0,0.035913805,0,41.4138,1,1987,0,2,1,812.276
279,13.3,0,0.079806266,2,232.53,8,1997,2,0,1,699.09
910,8.89,0,0.005505481,1,102.4016,2,2007,2,1,1,2732.4432
1099,12.857645184135976,1,0.064625342,1,176.937,4,1985,2,0,0,176.437
1144,12.857645184135976,0,0.071636937,1,121.7098,5,1985,1,2,3,4097.3332
1025,9.1,1,0.0,1,173.2054,7,2002,2,1,1,3151.8972
288,7.5,0,0.032677678,1,239.0906,9,1999,1,0,1,5942.265
1228,16.85,1,0.160760054,1,192.4478,2,2007,2,1,1,4843.695
1251,7.485,0,0.06911065,1,109.0228,6,2004,2,1,1,2542.0244
0,11.6,0,0.041177505,0,140.3154,2,2007,2,1,1,2552.6772
1213,11.65,0,0.040081193,1,227.0694,3,2009,1,2,2,1141.847
1317,13.0,0,0.035307322,2,47.5034,2,2007,2,1,1,680.4476
91,12.65,0,0.063017847,0,159.0578,7,2002,2,1,1,2085.9514
200,20.25,1,0.171938781,2,92.512,0,1998,2,2,0,186.424
528,8.6,1,0.040197932,2,190.153,6,2004,2,1,1,3036.048
1075,12.6,0,0.049058014,1,62.7194,2,2007,2,1,1,866.8716
605,17.7,0,0.01161096,1,95.041,6,2004,2,1,1,868.869
86,14.15,0,0.183507295,0,82.4276,8,1997,2,0,1,1137.1864
1048,19.25,0,0.102349519,2,52.7956,2,2007,2,1,1,928.1252
55,8.88,0,0.086708987,0,151.7682,1,1987,0,2,1,762.341
1444,20.5,0,0.032835147,2,40.2822,7,2002,2,1,1,707.0796
1186,12.857645184135976,0,0.033809913,2,180.5976,5,1985,1,2,3,7968.2944
1340,13.5,0,0.07266912,2,160.292,8,1997,2,0,1,1438.128
1476,12.857645184135976,0,0.144338493,2,224.4404,5,1985,1,2,3,6976.2524
910,8.89,0,0.009163216,1,101.7016,0,1998,2,2,0,101.2016
394,7.855,0,0.011307038,2,188.5188,3,2009,1,2,2,952.094
1428,7.235,0,0.076855628,2,116.0492,8,1997,2,0,1,1969.4364
453,12.857645184135976,0,0.059956876,1,165.4526,5,1985,1,2,3,5262.4832
228,6.92,0,0.038532062,2,60.5852,7,2002,2,1,1,1314.2892
1152,9.3,0,0.043209581,1,90.8172,2,2007,2,1,1,535.3032
1407,18.5,0,0.056816465,2,132.1284,0,1998,2,2,0,263.6568
1289,8.02,0,0.019866705,2,154.5972,6,2004,2,1,1,1402.1748
1538,9.195,0,0.048331717,2,105.1622,2,2007,2,1,1,1693.7952
1436,12.8,0,0.091221855,2,105.5938,7,2002,2,1,1,2143.876
1288,16.6,0,0.027622076,2,177.6344,9,1999,1,0,1,2676.516
479,14.0,1,0.0,1,53.064,6,2004,2,1,1,905.488
743,18.6,0,0.039355947,1,246.3802,9,1999,1,0,1,7370.406
198,16.0,0,0.060836524,1,226.8404,6,2004,2,1,1,6301.1312
1274,17.6,0,0.082316506,2,160.692,6,2004,2,1,1,1597.92
179,21.25,0,0.155350299,1,178.237,6,2004,2,1,1,529.311
1428,7.235,0,0.076841095,2,117.5492,6,2004,2,1,1,1969.4364
94,14.6,0,0.151419185,0,50.3692,2,2007,2,1,1,1034.6532
843,13.85,1,0.026001976,1,161.521,3,2009,1,2,2,1794.331
470,13.65,1,0.073209447,1,197.6426,3,2009,1,2,2,2768.3964
